District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Santa Cruz Valley Union High School District,2017,Pinal,6,T-10,11,8 and 11,Small,Town,445,1,43.7%,48.7%,14.9%,17.3%,5.0%,5.6%,9.2%,4.3%,"$1,460","$1,784",Very Low,46,44,Very Low,$4.98,$4.85,Comparable,341,348,Comparable,Comparable,$3.55,$3.70,Comparable,Comparable,$2.88,$1.93,Very High,"$2,798","$1,267",Very High,Very High,"$4,284","$5,470","$1,460","$1,784","$1,700","$1,587",$497,$534,$554,$571,$900,$642,$417,$423,"$9,812","$11,011","$1,097",$437,"$1,372",$479,$159,$179,$12,$45,"$2,640","$1,140","$12,452","$12,151",9%,17%,16%,18%,15%,21%,94%,91%,78%,84%,27%,26%,12%,11%,19.3,14.8,"$44,005","$43,276","$8,408","$5,503",10.2,11.5,5%,19%,"$1,138","$2,411","$3,130","$3,824","$9,367","$7,054","$13,635","$13,289","$6,657","$7,159",$261,$285,$56,$57,"$1,321","$1,876",$86,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$3,299",15 of 20,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"8.5%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Scottsdale Unified School District,2017,Maricopa,1,T-5,2,"23, 24, 26, and 28",Very large,City,"22,654",29,53.6%,56.4%,9.7%,14.1%,4.2%,4.2%,8.9%,5.3%,$768,$680,High,77,80,High,$6.15,$6.15,Comparable,182,147,Very High,High,$2.62,$2.79,Low,Low,$4.33,$4.15,Comparable,"$1,541","$1,809",Low,Low,"$4,254","$4,386",$768,$680,"$1,122",$877,$331,$323,$337,$341,$711,$679,$418,$358,"$7,941","$7,644",$299,$651,$216,$393,$361,$223,$271,$209,"$1,147","$1,476","$9,088","$9,120",57%,44%,54%,44%,67%,60%,95%,95%,86%,90%,9%,13%,9%,12%,18.3,18.4,"$49,435","$46,837","$6,642","$6,016",13.9,11.3,13%,18%,$733,$885,"$1,607","$3,394","$7,988","$5,302","$10,328","$9,581","$5,387","$5,387",$237,$241,$46,$46,$724,$901,$184,$98,$326,4 of 10,$0,0 of 10,$0,2 of 10,"$2,099",10 of 10,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"4.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Sedona-Oak Creek Joint Unified School District,2017,Yavapai,5,T-7,4,6,Medium,Town,"1,016",3,51.0%,50.2%,11.5%,15.7%,4.4%,4.7%,7.8%,4.9%,"$1,047","$1,102",Comparable,52,53,Comparable,$4.06,$5.20,Very Low,354,263,Very High,Low,$5.03,$3.54,Very High,Very High,$3.58,$2.98,Very High,"$1,260",$921,Very High,Very High,"$4,663","$4,541","$1,047","$1,102","$1,439","$1,289",$400,$396,$433,$488,$713,$632,$445,$346,"$9,140","$8,794",$117,$764,$300,$536,"$2,169",$221,$119,$78,"$2,705","$1,599","$11,845","$10,393",30%,31%,35%,31%,51%,52%,95%,94%,86%,88%,17%,15%,10%,13%,17.7,15.7,"$44,530","$45,360","$6,778","$5,787",13.8,10.4,11%,17%,$820,"$3,999","$1,909","$4,066","$13,681","$4,210","$16,410","$12,275","$5,943","$5,929",$255,$243,$51,$49,$845,"$1,751",$305,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$6,993",20 of 29,Moderate,Large decrease,High,No overspending,Low,No election held,No Measure,"8.5%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Seligman Unified School District,2017,Yavapai,11,T-11,4,1,Very small,Rural,120,2,46.8%,50.5%,11.1%,18.3%,3.4%,7.6%,4.4%,8.4%,"$2,282","$3,137",No Measure,22,32,No Measure,$5.00,$6.96,No Measure,752,412,No Measure,No Measure,$4.67,$5.79,No Measure,No Measure,$1.84,$1.87,No Measure,"$2,265","$1,459",No Measure,No Measure,"$9,623","$8,613","$2,282","$3,137","$3,760","$2,644",$710,"$1,000","$1,565",$961,$897,$601,"$1,720",$498,"$20,557","$17,454","$1,803","$1,161",$830,$735,$34,$31,$132,$90,"$2,799","$2,017","$23,356","$19,471",18%,31%,27%,31%,53%,52%,93%,94%,100%,88%,17%,15%,12%,13%,9.6,15.7,"$48,137","$45,360","$5,315","$5,787",12.6,10.4,0%,17%,"$1,177","$2,908","$4,106","$5,692","$21,531","$13,343","$26,814","$21,943","$11,573","$9,932",$342,$315,$68,$57,"$2,972","$2,701",$24,$184,$0,0 of 54,"$12,200",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,Voter-rejected,High,"12.9%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Sentinel Elementary School District,2017,Maricopa,11,T-11,20,4,Very small,Rural,32,1,50.4%,50.5%,10.5%,18.5%,5.5%,12.2%,0.1%,2.8%,"$3,499","$3,137",No Measure,26,32,No Measure,$14.42,$6.96,No Measure,429,412,No Measure,No Measure,$8.02,$5.79,No Measure,No Measure,$2.36,$1.87,No Measure,"$4,156","$1,459",No Measure,No Measure,"$16,821","$8,613","$3,499","$3,137","$6,186","$2,644","$1,847","$1,000","$4,069",$961,$38,$601,$934,$498,"$33,394","$17,454",$0,"$1,161","$2,402",$735,$15,$31,$0,$90,"$2,417","$2,017","$35,811","$19,471",67%,25%,50%,26%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,95%,93%,N/A,N/A,42%,44%,5%,15%,6.9,11.2,"$52,373","$48,132","$5,522","$4,375",16.7,11.5,0%,6%,"$1,019","$2,908","$7,032","$5,692","$28,304","$13,343","$36,355","$21,943","$12,167","$9,932",$299,$315,$61,$57,"$2,474","$2,701",$37,$184,$0,0 of 54,"$16,535",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"10.7%, Increasing",Low,More than 3 years,Low,Compliant,Low
Show Low Unified School District,2017,Navajo,4,T-8,6,6 and 7,Medium-large,Rural,"2,392",5,58.5%,52.0%,8.9%,11.4%,4.7%,5.1%,6.2%,5.2%,$653,$844,Very Low,68,69,Very Low,$4.52,$5.36,Very Low,186,190,Comparable,Very Low,$3.60,$3.00,Very High,Very High,$2.73,$2.95,Low,$976,"$1,037",Low,Low,"$4,310","$4,032",$653,$844,$841,$987,$343,$409,$374,$414,$460,$607,$385,$481,"$7,366","$7,774",$111,$346,$393,$390,$58,$164,$54,$77,$616,$977,"$7,982","$8,751",31%,34%,36%,31%,62%,45%,92%,94%,81%,84%,30%,32%,13%,14%,18.0,16.4,"$42,077","$44,227","$7,430","$5,336",10.3,12.6,21%,17%,"$1,032","$2,260","$3,284","$4,086","$3,750","$3,104","$8,066","$9,450","$5,265","$5,373",$233,$233,$44,$46,"$1,174","$1,374",$47,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$13,14 of 18,Moderate,Steady,Low,Isolated,Moderate,Voter-approved,Low,"4.8%, Varying",Low,1 to 3 years,Moderate,Noncompliant,High
Sierra Vista Unified School District,2017,Cochise,3,T-3,3,14,Medium-large,City,"5,630",8,54.3%,53.1%,11.7%,11.3%,4.3%,4.9%,7.8%,5.7%,$904,$837,High,63,69,High,$5.74,$6.01,Comparable,152,157,Comparable,Comparable,$3.13,$3.04,Comparable,Comparable,$3.32,$4.28,Very Low,"$1,060","$1,207",Low,Very Low,"$4,184","$3,991",$904,$837,$873,$965,$331,$324,$380,$433,$601,$640,$436,$338,"$7,709","$7,528",$119,$890,$427,$406,$2,$258,$73,$146,$621,"$1,700","$8,330","$9,228",44%,38%,43%,37%,53%,52%,94%,94%,88%,86%,29%,24%,12%,14%,19.0,18.8,"$48,068","$45,975","$3,522","$5,671",12.4,11.8,8%,16%,$812,$781,"$3,329","$3,243","$3,385","$5,097","$7,526","$9,121","$5,287","$5,442",$231,$240,$48,$47,$762,$866,$60,$157,$0,1 of 15,$0,0 of 15,$92,3 of 15,$0,13 of 15,Low,Steady,Low,Isolated,Moderate,Voter-approved,Low,"3.8%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Skull Valley Elementary School District,2017,Yavapai,11,T-11,16,1,Very small,Rural,14,1,42.7%,50.5%,17.8%,16.8%,8.8%,5.1%,6.7%,2.1%,"$4,977","$3,137",No Measure,14,32,No Measure,$7.94,$6.96,No Measure,592,412,No Measure,No Measure,$12.73,$5.79,No Measure,No Measure,$1.76,$1.87,No Measure,$893,"$1,459",No Measure,No Measure,"$11,968","$8,613","$4,977","$3,137","$4,705","$2,644","$2,477","$1,000","$1,423",$961,"$1,878",$601,$584,$498,"$28,012","$17,454",$75,"$1,161",$346,$735,$0,$31,$0,$90,$421,"$2,017","$28,433","$19,471",25%,36%,42%,41%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,96%,95%,N/A,N/A,13%,11%,45%,15%,7.2,12.0,N/A,"$50,741",N/A,"$5,239",N/A,19.8,N/A,8%,"$1,989","$2,908","$5,940","$5,692","$16,288","$13,343","$24,217","$21,943","$12,244","$9,932",$347,$315,$60,$57,"$1,995","$2,701",$217,$184,$0,0 of 54,"$12,646",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"31.3%, Increasing",Low,1 to 3 years,Moderate,Not assessed,No Measure
Snowflake Unified School District,2017,Navajo,4,T-7,5,6,Medium-large,Town,"2,432",6,57.1%,52.0%,9.2%,10.7%,3.3%,6.7%,9.5%,3.5%,$579,$844,Very Low,75,69,Very Low,$3.84,$5.36,Very Low,176,190,Low,Very Low,$3.26,$3.00,High,High,$4.17,$2.98,Very High,"$1,185",$921,Very High,Very High,"$3,612","$4,032",$579,$844,$676,$987,$208,$409,$426,$414,$603,$607,$222,$481,"$6,326","$7,774",$36,$346,$270,$390,$110,$164,$1,$77,$417,$977,"$6,743","$8,751",60%,31%,49%,31%,74%,44%,95%,93%,95%,85%,23%,24%,13%,13%,21.2,17.0,"$41,902","$44,553","$7,908","$5,512",12.9,12.8,14%,16%,$929,"$2,260","$4,358","$4,086","$2,260","$3,104","$7,547","$9,450","$5,156","$5,373",$227,$233,$44,$46,$913,"$1,374",$29,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$350,14 of 18,Low,Increase,Low,No overspending,Low,No election held,No Measure,"7.3%, Increasing",Low,More than 3 years,Low,Compliant,Low
Solomon Elementary School District,2017,Graham,11,T-11,17,14,Very small,Town,180,1,50.0%,50.5%,21.5%,9.2%,8.1%,4.9%,3.3%,3.0%,"$2,034","$3,137",No Measure,45,32,No Measure,$3.54,$6.96,No Measure,247,412,No Measure,No Measure,$3.77,$5.79,No Measure,No Measure,$2.15,$1.87,No Measure,$362,"$1,459",No Measure,No Measure,"$4,723","$8,613","$2,034","$3,137",$874,"$2,644",$771,"$1,000",$461,$961,$308,$601,$282,$498,"$9,453","$17,454","$1,160","$1,161",$827,$735,$0,$31,$8,$90,"$1,995","$2,017","$11,448","$19,471",37%,37%,41%,38%,79%,62%,95%,94%,N/A,N/A,21%,19%,5%,14%,16.6,13.3,"$41,959","$44,961","$5,345","$4,257",15.2,12.6,0%,11%,"$1,575","$2,908","$6,062","$5,692","$2,387","$13,343","$10,024","$21,943","$6,738","$9,932",$257,$315,$49,$57,"$1,767","$2,701",$50,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$0,7 of 54,Low,Steady,Low,No overspending,Low,No election held,No Measure,"5.4%, Varying",Low,More than 3 years,Low,Compliant,Low
Somerton Elementary School District,2017,Yuma,9,T-6,19,4,Medium-large,Town,"2,835",5,50.0%,50.0%,13.8%,11.8%,8.9%,2.4%,6.8%,6.3%,"$1,013","$1,060",Comparable,62,58,Comparable,$7.58,$6.71,High,114,153,Very Low,Comparable,$2.89,$3.04,Low,Low,$3.29,$3.94,Very Low,$521,$728,Very Low,Very Low,"$3,658","$4,115","$1,013","$1,060",$865,"$1,004",$647,$571,$173,$427,$499,$528,$460,$463,"$7,315","$8,168",$300,$917,$890,$314,$72,$77,$146,$148,"$1,408","$1,456","$8,723","$9,624",36%,35%,28%,36%,47%,52%,95%,93%,N/A,N/A,33%,34%,11%,15%,20.6,14.8,"$43,669","$46,717","$4,809","$4,152",9.2,11.3,14%,16%,"$1,893","$1,753","$5,112","$4,842",$974,"$2,654","$7,979","$9,249","$5,016","$5,748",$230,$239,$42,$44,"$1,939","$2,064",$31,$69,$0,0 of 10,$0,0 of 10,$21,3 of 10,$427,8 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"4.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Sonoita Elementary School District,2017,Santa Cruz,11,T-11,17,2,Very small,Rural,103,1,61.2%,50.5%,20.3%,8.1%,4.1%,3.4%,2.6%,0.3%,"$3,922","$3,137",No Measure,23,32,No Measure,$5.11,$6.96,No Measure,308,412,No Measure,No Measure,$6.20,$5.79,No Measure,No Measure,$1.16,$1.87,No Measure,"$1,530","$1,459",No Measure,No Measure,"$11,803","$8,613","$3,922","$3,137","$1,572","$2,644",$782,"$1,000",$666,$961,$494,$601,$60,$498,"$19,299","$17,454",$79,"$1,161",$635,$735,$0,$31,$0,$90,$714,"$2,017","$20,013","$19,471",49%,37%,55%,38%,94%,62%,93%,94%,N/A,N/A,18%,19%,22%,14%,7.7,13.3,"$50,107","$44,961",$777,"$4,257",9.6,12.6,30%,11%,"$1,864","$2,908","$4,096","$5,692","$14,261","$13,343","$20,221","$21,943","$8,223","$9,932",$255,$315,$57,$57,"$1,943","$2,701",$211,$184,$0,0 of 54,"$5,635",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"14.9%, Varying",Low,More than 3 years,Low,Compliant,Low
St. David Unified School District,2017,Cochise,6,T-7,4,14,Small,Rural,362,2,52.4%,48.7%,15.4%,12.7%,1.8%,4.1%,12.7%,0.9%,"$1,625","$1,784",Low,40,44,Low,$6.10,$4.85,Very High,220,348,Very Low,High,$2.48,$3.70,Very Low,Very Low,$3.22,$2.98,High,"$1,393",$921,Very High,Very High,"$5,528","$5,470","$1,625","$1,784","$1,342","$1,587",$188,$534,$428,$571,"$1,342",$642,$92,$423,"$10,545","$11,011",$492,$437,$404,$479,$11,$179,$0,$45,$907,"$1,140","$11,452","$12,151",48%,31%,46%,31%,59%,52%,94%,94%,94%,88%,18%,15%,18%,13%,15.1,15.7,"$49,219","$45,360","$7,546","$5,787",14.6,10.4,12%,17%,"$1,397","$2,411","$5,024","$3,824","$5,257","$7,054","$11,678","$13,289","$7,183","$7,159",$295,$285,$58,$57,"$1,826","$1,876",$255,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,319",15 of 20,High,Moderate decrease,Moderate,Operating and capital,High,No election held,No Measure,"1.9%, Varying",High,Less than 1 year,High,Marginally compliant,Moderate
St. Johns Unified School District,2017,Apache,5,T-10,5,7,Medium,Town,815,4,49.6%,50.2%,13.7%,17.7%,3.8%,4.1%,7.3%,3.8%,"$1,255","$1,102",High,40,53,High,$4.47,$5.20,Low,364,263,Very High,Comparable,$4.19,$3.54,Very High,Very High,$1.15,$1.93,Very Low,"$1,247","$1,267",Comparable,Very Low,"$4,559","$4,541","$1,255","$1,102","$1,630","$1,289",$348,$396,$378,$488,$671,$632,$351,$346,"$9,192","$8,794",$380,$764,$400,$536,$0,$221,$58,$78,$838,"$1,599","$10,030","$10,393",55%,31%,48%,31%,64%,44%,95%,93%,77%,85%,27%,24%,12%,13%,16.8,17.0,"$42,173","$44,553","$4,782","$5,512",16.8,12.8,6%,16%,"$1,195","$3,999",$681,"$4,066","$8,707","$4,210","$10,583","$12,275","$6,453","$5,929",$254,$243,$51,$49,"$1,164","$1,751",$61,$138,$0,1 of 29,$0,0 of 29,$63,14 of 29,$570,20 of 29,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"7.5%, Increasing",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
Stanfield Elementary School District,2017,Pinal,10,T-8,17,4 and 11,Small,Rural,479,1,43.9%,52.5%,17.5%,13.5%,6.8%,8.0%,3.3%,7.0%,"$1,832","$1,231",Very High,47,54,Very High,$6.94,$6.81,Comparable,203,153,Very High,High,$2.93,$3.41,Low,Low,$3.02,$2.95,Comparable,"$1,054","$1,037",Comparable,Comparable,"$4,587","$4,993","$1,832","$1,231","$1,411","$1,125",$712,$549,$836,$575,$344,$606,$729,$397,"$10,451","$9,476",$7,$194,$373,$329,$0,$167,$0,$91,$380,$781,"$10,831","$10,257",16%,37%,9%,38%,23%,62%,93%,94%,N/A,N/A,17%,19%,12%,14%,14.5,13.3,"$38,939","$44,961","$3,873","$4,257",13.0,12.6,10%,11%,"$2,953","$2,395","$5,793","$4,806","$2,345","$4,236","$11,091","$11,437","$6,909","$6,815",$262,$269,$50,$50,"$2,460","$1,792",$54,$341,$0,0 of 12,$0,0 of 12,$497,3 of 12,$0,6 of 12,Low,Steady,Low,No overspending,Low,Voter-rejected,High,"5.9%, Varying",Low,More than 3 years,Low,Compliant,Low
Sunnyside Unified School District,2017,Pima,2,T-2,6,"2, 3, and 4",Large,City,"15,519",21,49.5%,53.2%,10.8%,12.4%,7.2%,3.0%,9.7%,7.4%,$800,$763,Comparable,56,67,Comparable,$7.28,$6.41,High,126,148,Very Low,Comparable,$3.03,$2.98,Comparable,Comparable,$3.84,$5.31,Very Low,$848,"$1,178",Very Low,Very Low,"$3,653","$4,035",$800,$763,$915,$941,$528,$348,$225,$383,$713,$622,$542,$501,"$7,376","$7,593",$289,$761,$394,$527,$158,$295,$79,$145,$920,"$1,728","$8,296","$9,321",26%,34%,23%,31%,32%,45%,94%,94%,72%,84%,37%,32%,12%,14%,18.2,16.4,"$41,182","$44,227","$5,156","$5,336",11.7,12.6,20%,17%,"$1,367",$896,"$4,254","$3,579","$2,077","$4,613","$7,698","$9,088","$5,137","$5,436",$236,$242,$47,$47,"$1,411",$943,$43,$98,$0,3 of 10,$0,0 of 10,$0,2 of 10,$322,10 of 10,Moderate,Large decrease,High,No overspending,Low,Voter-rejected,High,"4.9%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Superior Unified School District,2017,Pinal,6,T-6,5,8,Small,Town,359,2,48.4%,48.7%,17.3%,16.2%,4.7%,4.4%,4.8%,4.2%,"$1,857","$1,784",Comparable,44,44,Comparable,$5.06,$4.85,Comparable,344,348,Comparable,Comparable,$2.66,$3.70,Very Low,Very Low,$3.99,$3.94,Comparable,"$1,366",$728,Very High,Very High,"$5,210","$5,470","$1,857","$1,784","$1,741","$1,587",$505,$534,$479,$571,$514,$642,$454,$423,"$10,760","$11,011",$202,$437,$563,$479,$267,$179,$74,$45,"$1,106","$1,140","$11,866","$12,151",14%,31%,16%,31%,13%,44%,92%,93%,88%,85%,23%,24%,12%,13%,18.9,17.0,"$49,348","$44,553","$4,665","$5,512",9.1,12.8,5%,16%,"$1,688","$2,411","$4,730","$3,824","$5,918","$7,054","$12,336","$13,289","$6,464","$7,159",$279,$285,$58,$57,"$1,790","$1,876",$411,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,326",15 of 20,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"6.2%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Tanque Verde Unified School District,2017,Pima,3,T-4,1,10 and 14,Medium-large,Suburb,"2,035",4,56.0%,53.1%,13.9%,11.5%,3.4%,4.0%,10.1%,1.1%,"$1,005",$837,Very High,73,69,Very High,$6.06,$6.01,Comparable,138,157,Low,Comparable,$2.95,$3.04,Comparable,Comparable,$3.14,$3.61,Low,"$1,008","$1,278",Very Low,Very Low,"$4,057","$3,991","$1,005",$837,$834,$965,$249,$324,$288,$433,$729,$640,$78,$338,"$7,240","$7,528",$77,$890,$119,$406,$324,$258,$174,$146,$694,"$1,700","$7,934","$9,228",55%,59%,57%,57%,82%,75%,95%,95%,92%,93%,8%,7%,13%,11%,15.3,18.3,"$38,367","$44,253","$4,920","$5,557",14.8,11.2,9%,21%,$429,$781,"$3,165","$3,243","$4,558","$5,097","$8,152","$9,121","$5,294","$5,442",$232,$240,$46,$47,$340,$866,$265,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$883,13 of 15,Moderate,Steady,Low,No overspending,Low,No election held,No Measure,"3%, Varying",Moderate,1 to 3 years,Moderate,Marginally compliant,Moderate
Tempe Elementary School District,2017,Maricopa,7,T-1,13,"18, 26, and 27",Large,City,"11,049",21,52.1%,54.1%,10.0%,9.8%,6.1%,4.0%,9.0%,9.0%,$901,$796,High,58,75,High,$5.70,$6.23,Low,156,135,Very High,Comparable,$3.11,$2.77,High,High,$4.83,$6.81,Very Low,$719,$942,Very Low,Very Low,"$4,700","$4,304",$901,$796,$889,$837,$550,$566,$357,$303,$814,$671,$809,$511,"$9,020","$7,988","$1,491",$499,$291,$357,$375,$361,$122,$168,"$2,279","$1,385","$11,299","$9,373",35%,32%,37%,32%,49%,46%,95%,94%,N/A,N/A,28%,25%,12%,12%,15.1,19.1,"$40,899","$43,084","$4,894","$4,885",9.3,8.3,26%,30%,"$1,446","$1,522","$3,053","$4,236","$7,013","$3,488","$11,512","$9,246","$5,178","$5,133",$239,$235,$43,$44,"$1,552","$1,543",$54,$45,"$1,040",4 of 10,$0,0 of 10,$0,2 of 10,"$2,670",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"5%, Varying",Low,More than 3 years,Low,Compliant,Low
Tempe Union High School District,2017,Maricopa,2,T-3,8,"18, 26, and 27",Large,City,"13,609",7,54.0%,53.2%,11.2%,13.6%,2.8%,3.5%,8.3%,6.6%,$898,$763,Very High,68,67,Very High,$6.40,$6.41,Comparable,171,148,Very High,High,$3.24,$2.98,High,High,$3.79,$4.28,Low,"$1,048","$1,207",Low,Low,"$4,338","$4,035",$898,$763,"$1,095",$941,$222,$348,$279,$383,$670,$622,$525,$501,"$8,027","$7,593",$286,$761,$447,$527,$223,$295,$149,$145,"$1,105","$1,728","$9,132","$9,321",39%,33%,38%,27%,53%,34%,94%,93%,88%,87%,12%,16%,8%,11%,21.6,21.7,"$56,630","$49,138","$7,181","$8,138",14.0,10.3,7%,22%,$603,$896,"$1,907","$3,579","$7,285","$4,613","$9,795","$9,088","$5,716","$5,436",$250,$242,$51,$47,$717,$943,$98,$98,$0,3 of 10,$0,0 of 10,$0,2 of 10,"$1,580",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.7%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Thatcher Unified School District,2017,Graham,5,T-6,5,14,Medium,Town,"1,689",4,61.1%,50.2%,12.3%,11.5%,4.3%,4.2%,1.7%,4.9%,$758,"$1,102",Very Low,72,53,Very Low,$4.22,$5.20,Very Low,169,263,Very Low,Very Low,$3.59,$3.54,Comparable,Comparable,$3.49,$3.94,Low,$606,$728,Very Low,Low,"$3,774","$4,541",$758,"$1,102",$712,"$1,289",$267,$396,$257,$488,$107,$632,$300,$346,"$6,175","$8,794",$600,$764,$264,$536,$95,$221,$2,$78,$961,"$1,599","$7,136","$10,393",40%,31%,46%,31%,60%,44%,95%,93%,97%,85%,21%,24%,14%,13%,18.8,17.0,"$39,874","$44,553","$6,746","$5,512",10.7,12.8,24%,16%,$410,"$3,999","$5,310","$4,066","$1,852","$4,210","$7,572","$12,275","$5,041","$5,929",$233,$243,$45,$49,$932,"$1,751",$44,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$577,20 of 29,Low,Steady,Low,No overspending,Low,No election held,No Measure,"3.6%, Decreasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Tolleson Elementary School District,2017,Maricopa,8,T-2,13,19,Medium-large,City,"2,980",4,52.9%,51.3%,12.2%,8.8%,8.8%,2.2%,6.9%,8.2%,$940,$974,Comparable,88,68,Comparable,$5.20,$6.31,Very Low,132,147,Low,Very Low,$2.33,$2.75,Very Low,Very Low,$9.57,$5.31,Very High,"$1,759","$1,178",Very High,Very High,"$4,097","$4,164",$940,$974,$685,$909,$682,$640,$169,$327,$531,$626,$634,$559,"$7,738","$8,199",$197,$924,$631,$582,$107,$255,$187,$146,"$1,122","$1,907","$8,860","$10,106",31%,32%,28%,32%,46%,46%,94%,94%,N/A,N/A,30%,25%,11%,12%,19.6,19.1,"$51,705","$43,084","$5,371","$4,885",9.6,8.3,28%,30%,"$1,671","$1,848","$4,246","$3,857","$3,132","$4,627","$9,049","$10,332","$4,956","$5,145",$233,$236,$41,$43,"$1,989","$1,915",$29,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,384",19 of 19,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"5.3%, Varying",Low,More than 3 years,Low,Compliant,Low
